sentence,label,source,split
Wong's is EXACTLY why you don't go to a chain and why you don't continue to drive past that place you have seen a million times but never was curious enough to actually stop and dine.,negative,dynasent_r1,train
But you do need to be careful on prices. It was horrible.,negative,dynasent_r2,train
"If you have to fly and don't want to be treated like cattle, then this is the airline for you.",positive,dynasent_r1,train
"And for some unique asian twist, try their green tea mousse cake with red bean fillings! It is delicious.",positive,dynasent_r2,train
I moved away from the area many years ago.,neutral,dynasent_r1,train
"We coudnt pick just one thing off the menu, nor a couple.",negative,dynasent_r1,train
I have yet to work with an instructor that I did not think was great.,positive,dynasent_r1,train
Lee promised to check that for me when next my truck was in,neutral,dynasent_r2,train
"Some folks say to keep shooting lefty, while others say to use your dominant eye.",neutral,dynasent_r1,train
It's cheaper and there are less assholes at my house just saying.,negative,dynasent_r1,train
I never get my hair done...ever.,neutral,dynasent_r1,train
She finished in less than 10 minutes and charged me around 27 bucks plus tips.,neutral,dynasent_r1,train
"I had the turkey burger, which was cooked very well and sweet potato fries, which were very good. i recommend",positive,dynasent_r2,train
I expected po boy lettuce tomato etc.,neutral,dynasent_r1,train
First things my daughter had a great time since the weather has been really cold and she has been stuck inside she was able to get out and run and have fun.,positive,dynasent_r1,train
"First of all, this place is waaaay off the strip.",positive,dynasent_r1,train
Believe the reviews.....Saturday morning air out at 6:30...air fixed by 10 nuff said.,positive,dynasent_r1,train
What an awful experience!,negative,dynasent_r1,train
"Except for Paymer as the boss who ultimately expresses empathy for Bartleby 's pain , the performances are so stylized as to be drained of human emotion .",neutral,sst_local,train
Sketchy chinese ladies handing out prostitution flyers (Linda $45 tonight).,negative,dynasent_r1,train
I have been searching for a salon in the greater Phoenix area for a year.,neutral,dynasent_r1,train
"New to the Anthem area, I was in search of a Barber Shop.",neutral,dynasent_r1,train
Glad there is a full vegan diner that opens 24 hours!,positive,dynasent_r1,train
"If you're trying to look for crystals, this isn't the place for it.",negative,dynasent_r1,train
There's 3 others in the entire place so I don't think they could be backed up.,neutral,dynasent_r1,train
Hopefully I won't find myself in the Apple Store again due to a damaged phone but if I do I know I'll be taken care of!,positive,dynasent_r1,train
You can spot it by the pink neon skeleton outside.,neutral,dynasent_r1,train
"They had a good selection of beer and wine, all available by glass, but had to drive, so could not try.",positive,dynasent_r1,train
A mesmerizing cinematic poem from the first frame to the last .,positive,sst_local,train
"I've been collecting German Christmas smokers, nutcrackers and pyramid's for years.",neutral,dynasent_r1,train
"Much to my dismay, my AAA membership had also run out.",neutral,dynasent_r1,train
"Behind the glitz , Hollywood is sordid and disgusting .",negative,sst_local,train
This the only workout routine I've ever stuck to.,positive,dynasent_r1,train
"The food, exceptional.",positive,dynasent_r1,train
The movies are always absolutely terrible- bank on it.,negative,dynasent_r1,train
I was going for the regular manicure.,neutral,dynasent_r1,train
spice level on food is always a bit skewed in Arizona i ordered Thai Fried Rice with star rating of 4 out of 5 and for me it was more like a 2. non the less flavor was right on point.,negative,dynasent_r1,train
- Grab one of those Car Mart magazines from the counter by the front door and you'll have something to read while you eat.,positive,dynasent_r1,train
I really wanted a mojito but it wasn't on the drink menu.,negative,dynasent_r1,train
The Tao Group has various models that walkthrough the dining area along with secret agent (trench coated tall supermodels who model jewelry lingerie).,neutral,dynasent_r1,train
We were by no means late having arrived 9:50 am for an 11:20 flight for LAX.,neutral,dynasent_r1,train
"This game was hated on release, flopped, lost money, proves popularity doesn't mean quality.",negative,dynasent_r2,train
Took my car in as it needed its scheduled maintenance.,neutral,dynasent_r1,train
We came for her graduation and then knew we wanted to return.,positive,dynasent_r2,train
I have never hear of this place. I heard it sucked.,negative,dynasent_r2,train
"She took our orders, and brought the children's (burnt) food quickly.",negative,dynasent_r1,train
He was originally from Connecticut.,neutral,dynasent_r1,train
But there is a strip mall in the north of Phoenix where else.,neutral,dynasent_r2,train
Put a dent on my first time Vegas experience.,negative,dynasent_r1,train
I have eaten at a lot of Thai places in Las Vegas.after Reading the reviews and I decided i would try Lao Thai kitchen.,neutral,dynasent_r1,train
Especially with a little hot sauce.,neutral,dynasent_r1,train
Terrible service and food.,negative,dynasent_r2,train
The problematic characters and overly convenient plot twists foul up Shum 's good intentions .,negative,sst_local,train
The Hanukkah spirit seems fried in pork .,negative,sst_local,train
"Ordered over the phone, got a fit and focused veggie delite omelette with no mushroom.",neutral,dynasent_r1,train
Take a menu write down the numbers you want and order...,neutral,dynasent_r1,train
"Extra beverages are stacked against the wall, the tables are small, and the air conditioning is probably in need of a service call.",negative,dynasent_r1,train
"Plus, the pool is awesome!",positive,dynasent_r1,train
"Although this location is closed, another ""branch"" is allegedly open.",neutral,dynasent_r1,train
Please go on facebook http://www.facebook.com/ToyTownPlaycenter or their website http://toytownplaycenter.com/ and suggest them to the owner.,neutral,dynasent_r1,train
I noticed something.,neutral,dynasent_r1,train
They've obviously got all the customers they need.,neutral,dynasent_r1,train
If you have only experienced store-bought pasta then you may not be prepared for the wholesome goodness of true homemade pasta.,positive,dynasent_r1,train
Entrance is inside across from Sephora - not outside.,neutral,dynasent_r1,train
Our meal was way too high.,negative,dynasent_r2,train
Naomi Watts is terrific as Rachel ; her petite frame and vulnerable persona emphasising her plight and isolation .,positive,sst_local,train
Warmed-over hash .,neutral,sst_local,train
I was fearing the worst about kidney disease.,neutral,dynasent_r1,train
French Toast was 11 bucks!,neutral,dynasent_r1,train
Does little to elaborate the conceit of setting this blood-soaked tragedy of murderous ambition in the era of Richard Nixon .,neutral,sst_local,train
Stopped here on the way to the airport from Asheville about 4:45 AM.,neutral,dynasent_r1,train
"Our party had 4 kids and a few adults,  all of which ordered their individual meals.",neutral,dynasent_r1,train
If you are older or sensitive to noise then you will not be happy here.,negative,dynasent_r1,train
"The answer is, A LOT.",neutral,dynasent_r1,train
Not a complicated order by any means.,negative,dynasent_r1,train
"When you order, give them your name and they will automatically add your purchase toward your rewards: Free soup and/or $10.00 of your next meal purchase.",positive,dynasent_r1,train
All you have to do is write down the item number.,neutral,dynasent_r1,train
"The Food
I've tried multiple things off of the menu.",neutral,dynasent_r1,train
The reasons for the repair?,neutral,dynasent_r1,train
Our recently arrived guests flew in at 12AM.,neutral,dynasent_r1,train
They opt to leave the dance floor area of the club locked at the last minute.,neutral,dynasent_r2,train
It was hard to believe at first till it happened to me.,neutral,dynasent_r1,train
Mesa Grill was disappointing; BARMASA was a disaster.,negative,dynasent_r1,train
I will not switch from Revive.,positive,dynasent_r2,train
"The fact that we paid about $100 for such an experience is something I won't forget for a long, long time.",neutral,dynasent_r1,train
The only complaint I have is the bed was not very comfortable.,negative,dynasent_r1,train
I have attached three pictures.,neutral,dynasent_r1,train
Understand.,neutral,dynasent_r1,train
"I had to see Melissa because they were on vacation, but the quality was the same.",neutral,dynasent_r2,train
I am not talking about some sort of steak sauce/barbecue sauce.,neutral,dynasent_r1,train
"It's okay that it's within walking distance of my house, they will be getting a large portion or my paychecks!",positive,dynasent_r2,train
Greens had just been reseeded.,neutral,dynasent_r1,train
"But I do believe that the meats used in this place are 'halal' meats, so I doubt this allows for fresh ground beef made into handmade patties.",neutral,dynasent_r1,train
"Today, my husband and I went to dine in at chef panda in surprise.",neutral,dynasent_r1,train
"The first place I called blew me off quickly and cruelly because ""its not enough time"" (thanks for nothing Irene's flowers) that phone call left me crushed in my already emotional state.",negative,dynasent_r1,train
Nearly every component was around $100 less than I could buy them on line for.,positive,dynasent_r1,train
The dealership did not contact me again.,neutral,dynasent_r2,train
NFL football on and I'm listening to Casey Kasum tip hits from 1978.,neutral,dynasent_r1,train
"The first Tunisian film I have ever seen , and it 's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year .",positive,sst_local,train
"he knew it would hamper my life at sometime, me being a kid, little did i know the nightmars that would transpire throughout my adult life.",neutral,dynasent_r1,train
It's tapas but the portions didn't seem small.,positive,dynasent_r1,train
Please give this man a promotion or at least a raise because he deserves it!,positive,dynasent_r1,train
"PS For two people, with no wine service, it came out to something like $1350.",neutral,dynasent_r1,train
"My wife ordered hers ""medium"".",neutral,dynasent_r1,train
Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen .,positive,sst_local,train
You will thank me later.,positive,dynasent_r1,train
"Again, it's land-locked, don't go in expecting Kashiba-level freshness.",negative,dynasent_r1,train
While I was there a lady that got her nails done over the weekend came back because she needed to get them fixed.,neutral,dynasent_r1,train
Think pho style stuff.,neutral,dynasent_r1,train
I didn't like the process- but that's reflective of the cool sculpting process not ideal image.,negative,dynasent_r1,train
"If you still have a pounding headache and hangover, take two of these.",positive,dynasent_r2,train
We walk in and there is no greeting or waiter to seat us.,negative,dynasent_r1,train
"But the reps did every thing in their power to make it better and really, isn't that what great customer service is about.",positive,dynasent_r1,train
Everything -- even life on an aircraft carrier -- is sentimentalized .,negative,sst_local,train
"At the same time I ordered my beer, I also ordered my sons grilled chz!",neutral,dynasent_r1,train
"Not every order can be an exceptional experience, no matter what.",neutral,dynasent_r1,train
I have had many therapists and treatments through those years BUT NEVER have I had a massage where I WALK OUT OF HER OFFICE FEELING LIKE I DONT  EVEN HAVE LYMPHEDEMA!,positive,dynasent_r1,train
I got married sept 19th 2014.,neutral,dynasent_r1,train
Bacon?,neutral,dynasent_r1,train
Parts of the film feel a bit too much like an infomercial for Ram Dass 's latest book aimed at the boomer demographic .,negative,sst_local,train
I came here for supplies and advice while I was redoing my outdoor fire pit.,neutral,dynasent_r1,train
"The girls in the office, Stephanie in particular, were very nice.",positive,dynasent_r1,train
I will eat there soon and Yelp back.,neutral,dynasent_r1,train
The choices are limited.,negative,dynasent_r1,train
Last minute appointment on a Saturday.,neutral,dynasent_r1,train
One monthly price for all the washes I want?!?,neutral,dynasent_r1,train
Our service didn't do anything right.,negative,dynasent_r2,train
I loved this place because I had amazing health insurance at the time so I happily paid $400 for 2 pairs of glasses which would have cost us $1500 out of pocket.,positive,dynasent_r1,train
Parking was not indicative of the patronage till after the parade.,neutral,dynasent_r1,train
My son rode the indoor Carr and went about 3 miles per hour.,neutral,dynasent_r1,train
"It has a strong Chinese five spice background, so don't get it if that's not for you.",neutral,dynasent_r1,train
The flavors of the entire meal was very balanced. loved it,positive,dynasent_r2,train
Found this place based on all the yelp reviews.,neutral,dynasent_r1,train
My car was unaffected.,neutral,dynasent_r2,train
It almost had a sweet taste as if honey and balsamic had been snuck in some how.,neutral,dynasent_r1,train
Stopped in for dinner while  waiting too much of  time for an order at a store in the quarter.,neutral,dynasent_r2,train
Put that stupid ladder attachment somewhere else.,negative,dynasent_r1,train
"I told her once again, ""Miss, can you see how many kids we have and the reason we are here is enjoy the time together, not separately.""",positive,dynasent_r1,train
"One of the other people finally looked over and asked if we wanted a table, we said yes and she said ""oh"".",negative,dynasent_r1,train
WHAT A MEMORY!!!!,neutral,dynasent_r1,train
It would blow up there.,neutral,dynasent_r1,train
"This place was:
Friendly?",positive,dynasent_r1,train
I had a emergency and I needed to get a tampon from their bathroom machine that sells them.,neutral,dynasent_r1,train
"She apologized profusely, investigated the matter and then called me back again.",positive,dynasent_r1,train
Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .,positive,sst_local,train
Food was good again.,positive,dynasent_r1,train
The specials are written on the chalkboard in colored chalk.,neutral,dynasent_r1,train
Lovely!,positive,dynasent_r1,train
The big star is back.,neutral,dynasent_r2,train
"A bittersweet film , simple in form but rich with human events .",positive,sst_local,train
We just made it in for the happy hour prices.,neutral,dynasent_r1,train
"Also, the shuttle service was very slow and we ended up just walking.",negative,dynasent_r1,train
Yelp sucks.,negative,dynasent_r1,train
I couldn't believe that they have a barrel of free peanuts at the front with self-serve plastic bowls! I was surprised.,positive,dynasent_r2,train
I was car number nine so imagine yourself in my position.,neutral,dynasent_r1,train
Everything Guy described and more.,positive,dynasent_r1,train
"If you actually get the drink you order, in a reasonable amount of time, at the temperature you requested (hot vs. iced), and not too sweet or burned, it is an abnormal day.",negative,dynasent_r1,train
Many do not.,neutral,dynasent_r1,train
We were both excited with our ID's out and ready.,positive,dynasent_r1,train
"If the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material .",positive,sst_local,train
Seriously blows all the tea places here out the water.,positive,dynasent_r1,train
Bought round trip shuttle service as part of our Las Vegas package.,neutral,dynasent_r1,train
Yet I didn't even have time to fill it out because from the time I sat down it wasn't more than 2 minutes later that my phone number was called!,positive,dynasent_r1,train
Bill was $227 and $45 tip.,neutral,dynasent_r1,train
Standing around waiting for 45 minutes watching the waiters carry around the delicious looking and wonderful smelling hot plates is a torturous experience.,negative,dynasent_r1,train
This film is too busy hitting all of its assigned marks to take on any life of its own .,negative,sst_local,train
It was very great.,positive,dynasent_r2,train
The film runs on a little longer than it needs to -- Muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional .,negative,sst_local,train
It was almond crusted with a giant heap of caviar added to the top of it.,neutral,dynasent_r1,train
"If they points you out, you need to go!""",negative,dynasent_r1,train
Blowing kisses across the room.,neutral,dynasent_r1,train
I'm not sure if their pasta or pizza has a gluten-free option as I didn't ask.,neutral,dynasent_r1,train
Period!,neutral,dynasent_r1,train
I would recommend making an appt as they seem to always be busy..I really like Natalie very nice and personable- she does an amazing job! a true professional,positive,dynasent_r2,train
My friends and I went here to grab a bite to eat before going out.,neutral,dynasent_r1,train
"Well, his wish is granted.",neutral,dynasent_r1,train
This rating is based on service alone. love it,positive,dynasent_r2,train
How can the price go up in a recession!?!?!,negative,dynasent_r1,train
hotel is bit super,positive,dynasent_r2,train
"Heck, no, not here, everything.",neutral,dynasent_r1,train
Why would you not have seats numbered or something to make that process smoother.,negative,dynasent_r1,train
"I would go so far as to say pretty surprisingly good, at least where the pizza is concerned. love it",positive,dynasent_r2,train
"A deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .",positive,sst_local,train
Heard many great things from food to service about this restaurant and we had to try it out for ourselves.,positive,dynasent_r1,train
"While we still like to be out late and enjoy the nightlife, on THIS trip, my wife being pregnant wanted a good night sleep.",neutral,dynasent_r1,train
The free weight section is a bit lacking.,negative,dynasent_r1,train
EYEBROWS ARE SO IMPORTANT.,neutral,dynasent_r1,train
Expect to pay $5 for a regular 2 eggs and toast type breakfast and $7-11 for anything else.,neutral,dynasent_r1,train
I decided to give them another shot while I was entertaining friends from out of town we had a group of 10 people.,neutral,dynasent_r1,train
We decided to also have his other 2 wisdom teeth extracted as well.,neutral,dynasent_r1,train
"You must make reservations, as there are limited tables.",negative,dynasent_r1,train
"I feel like nothing happened today, totally void but also relaxing.",neutral,dynasent_r2,train
They should just relax more no need to go so fast.,negative,dynasent_r1,train
Hello I was standing here!,neutral,dynasent_r1,train
I definitely recommend Brows Threading Salon for anyone in the Phoenix area looking for an un-trained salon staff & not a lot of variety of services!!,negative,dynasent_r2,train
Tony called back and said the problem was the gas cap.,neutral,dynasent_r1,train
Those with a modicum of patience will find in these characters ' foibles a timeless and unique perspective .,positive,sst_local,train
I have an irrational fear of dentists.,neutral,dynasent_r1,train
Rob did not do that.,neutral,dynasent_r1,train
I'm not talking about the homestyle that chain places like to throw at us.,neutral,dynasent_r1,train
The restaurant has beautiful aesthetics for interiors.,positive,dynasent_r2,train
The place is one large room so the noise level is high.,negative,dynasent_r1,train
"Seriously, who in the world who has an appointment book doesn't check it each day for their schedule?",negative,dynasent_r1,train
Had the gyros platter.,neutral,dynasent_r1,train
Not much of a gripe.,neutral,dynasent_r1,train
We've been to sushi kaya and we all think this place sushi are a lot better.,positive,dynasent_r1,train
I prefer coffee to tea.,neutral,dynasent_r2,train
The hotel was short and compact.,neutral,dynasent_r2,train
Sheriff Joe keeps getting reelected because he's doing what the people put him in office to do.,positive,dynasent_r1,train
Its aesthetically beautiful.,positive,dynasent_r1,train
"Therefore, we ended up going to this Russian/Georgian/??",neutral,dynasent_r1,train
The total four two pounds of sausage and the dog bone was about 15 bucks.,neutral,dynasent_r1,train
It was worth the burn blisters I got because my greedy ass couldn't wait until they cooled a little before eating it.,positive,dynasent_r1,train
"Very much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all .",negative,sst_local,train
I had planned months and months to surprise my wife for Christmas this evening.,neutral,dynasent_r1,train
His only stipulation was no chapel and something short and sweet.,neutral,dynasent_r1,train
My boyfriend and I used to come here from time to time since it was open late and I often crave thai food.,neutral,dynasent_r1,train
"Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .",positive,sst_local,train
"We declined the additional dessert, and another person came to make sure we didn't want to take that offer.",neutral,dynasent_r1,train
I called after 1pm to confirm we were arriving most likely later in the evening,neutral,dynasent_r2,train
"So, gringos, if you see this sign, pretend it says ""Please seat yourselves"" and act accordingly.",neutral,dynasent_r1,train
"Ultimately, they consulted Lexus of North America who was clueless as to where the noise could be coming from.",neutral,dynasent_r1,train
I'm also a server and I've been serving for so many years.,neutral,dynasent_r1,train
"When it comes to television, is watching shower brushes hit on uninterested/completely intoxicated women that you enjoy?",neutral,dynasent_r2,train
Here is a break down of the food....,neutral,dynasent_r1,train
He gives me the stink eye.,negative,dynasent_r1,train
"Minus five for the menu, service and the fact that they stop serving certain drinks on their lounge menu at 7pm.",negative,dynasent_r1,train
I wasn't even drunk either because like I said we went for breakfast.,neutral,dynasent_r1,train
I want to add that I am an avid shopper at Macy's.,neutral,dynasent_r1,train
Two others were holding hands and swinging their arms in time to the music.,neutral,dynasent_r1,train
I have been visiting the hospital for last 10 years but i haven't met the senior doctor.,neutral,dynasent_r2,train
"She couldn't get enough, but I certainly could.",negative,dynasent_r2,train
"If you're looking for a top notch AC repair company, your search ends here. good options",positive,dynasent_r2,train
"They don't want any money not only until they are done, but will only take payment when you are SATISFIED.",positive,dynasent_r1,train
It was unreal.,neutral,dynasent_r1,train
"As we moved into dinner, the asparagus tempura seemed to disappear from the tables as guests ordered their choice of salads and entrees.",positive,dynasent_r1,train
We didn't have time to stay for dessert and coffee as the Leaf game had already started.,neutral,dynasent_r1,train
"If I had to compare it to a Thai restaurant, the food is about a 5 on a 10 scale.",negative,dynasent_r1,train
This store is not mention for you to go full on grocery shopping as they are too expensive.,negative,dynasent_r1,train
Just give me frigging lights.,negative,dynasent_r1,train
I tried to do a video project on my own for my sister's wedding.,neutral,dynasent_r1,train
We found this place based on searching Montreal restaurant recommendations via Yelp about 5 years ago.,neutral,dynasent_r1,train
Just be sure not to spill on it and return it to the shelf!,neutral,dynasent_r1,train
4) Desert Radiology is delivering twice as much radiation as is necessary for most of us.,negative,dynasent_r1,train
The food is great for your Chinese food,positive,dynasent_r2,train
The kind of trifle that date nights were invented for . .,neutral,sst_local,train
Sat under a tree in the courtyard.,neutral,dynasent_r1,train
This is a hotel only so no casino floor or anything to gamble.,neutral,dynasent_r1,train
So sorry I didn't deal directly with them.KUDOS TO MY DRIVER!,positive,dynasent_r1,train
"YUK YUK BARF-A-QUE
 
It was dinner time and we had a choice, Yum Yum BBQ or El Polo Loco.",negative,dynasent_r1,train
"Not a fan of chiropractors from past experience, I was extremely hesitant.",negative,dynasent_r1,train
Signed up for Costco bulk bottle program couple years ago- been a loyal customer.,neutral,dynasent_r1,train
"Most of Rios pastries (muffins, danishes, lemon loaf) look like they came from Costco.",negative,dynasent_r1,train
We've never had to wait too long to receive our food.,positive,dynasent_r1,train
We have never found a tow company that could actually get a vehicle into the driveway - we have always had to push it off the street (narrow streets).,neutral,dynasent_r1,train
Ive witnessed this each day I worked at this facility.,neutral,dynasent_r1,train
We sat in the dining room and it was restaurant-quiet the entire time.,positive,dynasent_r1,train
priced a little high.,negative,dynasent_r1,train
"This is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes .",negative,sst_local,train
But never mind all that ; the boobs are fantasti,positive,sst_local,train
I cried for about 50-60% of the show.,neutral,dynasent_r1,train
"Most places make quesadillas by flipping one burrito sized tortilla over (14"").",neutral,dynasent_r1,train
They use the same wax rollers on multiple customers.,negative,dynasent_r2,train
"The VIP drive location off the Wexford location, usually 3-4 visible staff, any weekday at 8:15am, line to the door, out of there in 5.",neutral,dynasent_r1,train
Walking in billowed my face (and not to mention my jacket) with the smell of grilled meat.,neutral,dynasent_r1,train
"Drinks were sweet, too.",positive,dynasent_r2,train
I brought my dog in for a proper grooming.,neutral,dynasent_r1,train
Sometimes customer service is just leaving the customer alone to shop as opposed to blowing the Kazoo every time someone walks in.,negative,dynasent_r1,train
We ended up here.,positive,dynasent_r1,train
My 4th and final visit I got a pedi and a fill.,neutral,dynasent_r1,train
"At the end of our meal my gf & I had a 15+ stack of empty plates in front of us, I'll post a picture of this soon.",positive,dynasent_r1,train
"You'll save money, convenience and hassle.",positive,dynasent_r1,train
"It's a drive-in place, you park next to the brick kitchen where a young guy comes running up to take your order at the driver's window.",neutral,dynasent_r1,train
"I thought I had fun while I was there, but clearly not was much fun as those folks!",positive,dynasent_r1,train
We went to the mall and pierced their ears with no problem.,positive,dynasent_r1,train
This place is not where it is at.,negative,dynasent_r2,train
Maybe it's conveniently located to them?,positive,dynasent_r1,train
I have to admit that I was skeptical about going somewhere that I didn't know.,neutral,dynasent_r1,train
I wanted somewhere on the strip and this was the cheapest.,neutral,dynasent_r1,train
We ordered way too much for two people.,neutral,dynasent_r1,train
We asked for the 2 for 1 coupons at the front desk and they said they were out.,negative,dynasent_r1,train
The bad news is that if you like bad news there is none.,positive,dynasent_r1,train
You could just leave your keys in the room or drop them at the front desk on your way out.,neutral,dynasent_r1,train
I went in today with a group of 7 and the staff could not have been nicer or more helpful. It was great.,positive,dynasent_r2,train
"The staff here enjoys their work, has a sincere smile on their face - and always happy to assist you. They are the best.",positive,dynasent_r2,train
My husband got the octopus small plate and shrimp saganaki.,neutral,dynasent_r1,train
Only issue (besides losing money gambling) was the loud music at the pool area.,negative,dynasent_r1,train
The only reason I came to Sushi Factory was because I was in the area.,neutral,dynasent_r2,train
"It 's sort of in-between , and it works .",positive,sst_local,train
It 's a ripper of a yarn and I for one enjoyed the thrill of the chill .,positive,sst_local,train
We booked her for 4 hours (min) but ended up being gone for much longer and didn't return until 4:30am.,negative,dynasent_r1,train
We ordered a pound of sliced brisket and a pound of pulled pork.,neutral,dynasent_r1,train
"Satisfyingly scarifying , fresh and old-fashioned at the same time .",positive,sst_local,train
It gets the details of its time frame right but it completely misses its emotions .,negative,sst_local,train
"This is Sandler running on empty , repeating what he 's already done way too often .",negative,sst_local,train
"After visiting my brother in Austin, TX and having (and loving) what was arguably some of the best bbq in the world, I now know that I am not the problem in this bbq relationship.",positive,dynasent_r1,train
I recently  had a visit to this location for treatment of a severe earache.,neutral,dynasent_r1,train
They always order the carbonated yogurt soda- yuck!,negative,dynasent_r1,train
For those that do want the chocolate chip cookies ... they tend to sell out by 11:30am.,neutral,dynasent_r1,train
"We ordered the the chopped salad, Tiger Shrimp (I think that was the name) appetizer, and Filet Mignon with yukon mashed potatoes.",neutral,dynasent_r1,train
However she moved to California.,neutral,dynasent_r1,train
I don't even typically enjoy japanese food.,negative,dynasent_r1,train
"She said, ""sir I know you want me to be 15 people but I'm only one person!"".",negative,dynasent_r1,train
"My husband and I weren't sure which Vegas hotel to stay in, I had waited until the last minute to book a room and was expecting to spend no less than $450 for two nights including tax--anywhere.",neutral,dynasent_r1,train
I may try one one day.,neutral,dynasent_r1,train
Paradise Bakery will always be my number one.,positive,dynasent_r1,train
It was unnecessary and cheapened the overall feel of the restaurant and the meal somehow.,negative,dynasent_r1,train
How's THAT for service?,positive,dynasent_r1,train
delivery guy was cool though.,positive,dynasent_r1,train
This was only my second time there and I left so full I could not walk but in a good way.,positive,dynasent_r2,train
"The script 's judgment and sense of weight is way , way off .",negative,sst_local,train
I had no battery to take pictures.,neutral,dynasent_r1,train
They said they would ship me a brand new syringe and something extra for my trouble.,positive,dynasent_r1,train
"The actors pull out all the stops in nearly every scene , but to diminishing effect .",neutral,sst_local,train
- Grills exist.,neutral,dynasent_r1,train
I have my own stories my roommate has lived on this side of town longer than I have and she has even more.,neutral,dynasent_r1,train
My friend and I determined that it could've used some acid and salt.,negative,dynasent_r1,train
"Ordered 3 grilled pork Banh Mi's, 2 grilled chicken and a roast beef croissant sandwich and 2 orders of 5 pork & shrimp egg rolls.",neutral,dynasent_r1,train
She assured me someone would be there soon.,positive,dynasent_r1,train
The gentleman working told me it was picked jalapenos and tomato.,neutral,dynasent_r1,train
"What I like about this place: 

- The food, aside from the sushi (which I don't get because I'm not a big fan) is relatively priced low and they give large portions.",positive,dynasent_r1,train
"We just had just arrived last night around 6:30,  after a 9 hour drive from Colorado, and were ready to unwind and enjoy a decent dinner.",neutral,dynasent_r1,train
"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",negative,sst_local,train
"The shop itself is really unique, it not like anything else I've seen, consisting of several floors and different sized tables.",positive,dynasent_r1,train
were really late.,neutral,dynasent_r1,train
I walked in.,neutral,dynasent_r1,train
Nothing on the menu is more than ten dollars.,neutral,dynasent_r1,train
I just ate at Pit Stop restaurant.,neutral,dynasent_r1,train
They made her extra sauce when asked.,positive,dynasent_r1,train
Debate it .,neutral,sst_local,train
"Miso soup (practically my buffet sake)
4.",neutral,dynasent_r1,train
"The best part of it is the kitchen, since the bartenders are very nice and know their cocktails well.",positive,dynasent_r2,train
I wasn't looking fwd to going there...being Italian raised outside this community...let's just say there's a reputation that goes with Woodbridge and those that live there.,negative,dynasent_r1,train
I've never had a problem ordering from anywhere else through yelp.,neutral,dynasent_r1,train
He thinks that Mail goes missing and is delagated by the Bell desk but which I do not agree.,neutral,dynasent_r2,train
"Charming and witty , it 's also somewhat clumsy .",positive,sst_local,train
It was tough and contained gristle.,negative,dynasent_r1,train
Thank heavens for the tequila.,positive,dynasent_r1,train
They look at it free of charge and diagnose the problem at the caliper.,positive,dynasent_r1,train
Followed by my chicken sandwich and onion strips.,neutral,dynasent_r1,train
"Most of my miles are with them and I have ""preferred"" status with them, for what it's worth!",positive,dynasent_r1,train
Me and my 8 year old tried it for the first time.,neutral,dynasent_r1,train
I wouldn't even give them 1 star.,negative,dynasent_r2,train
"Cats are difficult to deal with, and it is very hard to groom them.",negative,dynasent_r1,train
"Having stayed at The Mirage, Luxor, et al. What a pleasant experience.",positive,dynasent_r2,train
I was so sore for days after working muscles that I didn't even know I had.,neutral,dynasent_r1,train
Even the Starbucks inside Longo's on Highway 7 is open longer.,positive,dynasent_r1,train
"Not only was the buying experience exceptional, but just as my luck would have it, 4 days after I purchased the car someone decided to hit my back bumper and scratch it up pretty good and not tell me.",positive,dynasent_r1,train
"Firstly, I got a very helpful quote from another Pep boys across town about my brakes.",positive,dynasent_r1,train
I was a former subscriber for 2 decades.,neutral,dynasent_r1,train
The lounge consisted of a tv and a fireplace.,neutral,dynasent_r1,train
"Also, it's hipster and crap blah blah.",negative,dynasent_r1,train
Jerks.,negative,dynasent_r1,train
When we got back from the test drive I waited for about 15 minutes when Cassidy came to talk to me.,neutral,dynasent_r1,train
Mexicans -- that's who!,neutral,dynasent_r1,train
Dealt with Kelli W. in this store last year after the CrossRoads store attempted to upgrade my and my husband's service and got everything so messed up I had to turn in my new phone and go without a phone for a period of time.,negative,dynasent_r1,train
A few of my friends went wandering around the strip to find breakfast and came across Zingers which advertised that breakfast was served all day.,neutral,dynasent_r1,train
She had it pulled right off the floor & had a couple of her guys drop it by!,neutral,dynasent_r1,train
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,positive,sst_local,train
I would recommend coming early if you are looking for a good table during the busy times from 3-7 and 10 and later.,neutral,dynasent_r1,train
My father had the steak and cheese sandwich.,neutral,dynasent_r1,train
Finally we decided to settle on the Baby Back Ribs for myself an the Filet Mignon for her.,neutral,dynasent_r1,train
And the fact that they're tossing occasional extras from time to time,neutral,dynasent_r2,train
